Date,Time,Location,Humidity,MaxTemp,Rainfall
01/01/2015,0:00:00,LUSAKA CITY AIRPOR,,25.2,1.4
02/01/2015,1:00:00,LUSAKA CITY AIRPOR,,28,10
03/01/2015,2:00:00,LUSAKA CITY AIRPOR,,27.2,3
04/01/2015,3:00:00,LUSAKA CITY AIRPOR,,21.2,1
05/01/2015,4:00:00,LUSAKA CITY AIRPOR,,28,0
06/01/2015,5:00:00,LUSAKA CITY AIRPOR,,28,3.1
07/01/2015,6:00:00,LUSAKA CITY AIRPOR,,20,1.1
08/01/2015,7:00:00,LUSAKA CITY AIRPOR,,23.5,9
09/01/2015,8:00:00,LUSAKA CITY AIRPOR,,20.5,2
10/01/2015,9:00:00,LUSAKA CITY AIRPOR,,24.5,3.4
11/01/2015,10:00:00,LUSAKA CITY AIRPOR,,23,0
12/01/2015,11:00:00,LUSAKA CITY AIRPOR,,28,0
13/01/2015,12:00:00,LUSAKA CITY AIRPOR,,26.5,0
14/01/2015,13:00:00,LUSAKA CITY AIRPOR,,22.5,0
15/01/2015,14:00:00,LUSAKA CITY AIRPOR,,29.5,0
16/01/2015,15:00:00,LUSAKA CITY AIRPOR,,27.5,0.5
17/01/2015,16:00:00,LUSAKA CITY AIRPOR,,28.7,0
18/01/2015,17:00:00,LUSAKA CITY AIRPOR,,20.7,15
19/01/2015,18:00:00,LUSAKA CITY AIRPOR,,24,14
20/01/2015,19:00:00,LUSAKA CITY AIRPOR,,24,34
21/01/2015,20:00:00,LUSAKA CITY AIRPOR,,24.7,0
22/01/2015,21:00:00,LUSAKA CITY AIRPOR,,24.5,0
23/01/2015,22:00:00,LUSAKA CITY AIRPOR,,25.5,0
24/01/2015,23:00:00,LUSAKA CITY AIRPOR,,25,0
25/01/2015,0:00:00,LUSAKA CITY AIRPOR,,25.6,0
26/01/2015,1:00:00,LUSAKA CITY AIRPOR,,27.5,0
27/01/2015,2:00:00,LUSAKA CITY AIRPOR,,25.1,0
28/01/2015,3:00:00,LUSAKA CITY AIRPOR,,25.3,0
29/01/2015,4:00:00,LUSAKA CITY AIRPOR,,23.2,0
30/01/2015,5:00:00,LUSAKA CITY AIRPOR,,,7
31/01/2015,6:00:00,LUSAKA CITY AIRPOR,,25.5,5
01/02/2015,7:00:00,LUSAKA CITY AIRPOR,,24.1,0
02/02/2015,8:00:00,LUSAKA CITY AIRPOR,,26.5,9
03/02/2015,9:00:00,LUSAKA CITY AIRPOR,,26.5,2
04/02/2015,10:00:00,LUSAKA CITY AIRPOR,,26.4,2.4
05/02/2015,11:00:00,LUSAKA CITY AIRPOR,,23.9,1
06/02/2015,12:00:00,LUSAKA CITY AIRPOR,,29,0
07/02/2015,13:00:00,LUSAKA CITY AIRPOR,,32.3,1
